ID,Coding_Frame_ID,Index_Number,Coding_Set_ID,Argument_Type,Microrole_IDs
2710206975-1,2710206975,1,8083330622,A,hitter;eater;hugger;looker;seeer;smeller;frightener;liker;breaker;builder;cooker;knower;searcher;washer;dresser;meeter;shouter;beater;cutter;taker;peeler;carrier;coverer;leaver;wanter;grinder;hearer;maker;killer;toucher;fearer;shaver-of-body-part;teller;tier;receiver;boiler-tr;teacher
2710206975-2,2710206975,2,8083333934,P,hittee;eaten-food;huggee;looked-at-entity;seen-entity;smelled-entity;frightenee;liked-entity;broken-thing;built-thing;cooked-food;known-thing-or-person;searched-for-thing;washed-entity;met-person;shoutee;killee;beatee;cut-thing;taken-thing;peeled-object;carried-thing;touchee;covered-thing;wanted-thing;ground-thing;heard-sound;made-thing;left-place-or-person;fear-stimulus;told-content;tied-thing;received-thing;clothes;shaved-person;boiled-thing-tr;taught-content
2891289685-1,2891289685,1,8083330622,S,digger
2891289685-2,2891289685,2,8413631156,X,dug-up-thing
2960315448-1,2960315448,1,8083330622,S,fearer
2960315448-2,2960315448,2,8413062418,X,fear-stimulus
2960392624-1,2960392624,1,8083330622,A,asker
2960392624-2,2960392624,2,8083333934,P,askee
2960392624-3,2960392624,3,8455937228,X,requested-thing
2960409349-1,2960409349,1,8083330622,A,namer
2960409349-2,2960409349,2,8083333934,P,namee
2960409349-3,2960409349,3,8083333934,P,name
3064622350-1,3064622350,1,8083330622,S,thinker
3064622350-2,3064622350,2,8629353213,X,thought-content
3291849142-1,3291849142,1,10622276343,A,coverer;filler;cutter;toucher;hitter;beater;killer;breaker;namer;grinder
3291849142-2,3291849142,2,10622278259,P,covered-thing;filled-container;cut-thing;touchee;hittee;beatee;killee;broken-thing;namee;ground-thing
3291849142-3,3291849142,3,10622279983,I,cover;filling-material;cutting-instrument;touching-instrument;hitting-instrument;beating-instrument;killing-instrument;breaking-instrument;name;grinding-instrument
3291880259-1,3291880259,1,10622276343,A,loader;pourer;tier;putter;bringer;giver;shower;sayer;teller;teacher
3291880259-2,3291880259,2,10622278259,P,loaded-thing;poured-substance;tied-thing;put-thing;brought-thing;gift;shown-thing;said-content;told-content;teachee
3291880259-3,3291880259,3,10622292681,L,loading-place;pouring-goal;tying-goal;putting-goal;bringing-recipient;giving-recipient;showing-addressee;saying-addressee;tellee;taught-content
3291913773-1,3291913773,1,10622276343,A,thrower;sender;carrier;pusher
3291913773-2,3291913773,2,10622278259,P,thrown-thing;sent-thing;carried-thing;pushee
3291913773-3,3291913773,3,10622312500,X,throwing-goal;sending-recipient;carrying-goal;pushing-goal
3291957923-1,3291957923,1,10622276343,A,receiver;stealer;hider;tearer;wiper;builder;taker;peeler
3291957923-2,3291957923,2,10622278259,P,received-thing;stolen-thing;hidden-thing;torn-thing;wiped-material;built-thing;taken-thing;peel
3291957923-3,3291957923,3,10622341019,X,receiving-source;stealing-source;hiding-affectee;tearing-source;wiping-surface;building-material;taking-source;peeled-object
3292055457-1,3292055457,1,10622276343,S,shouter
3292055457-2,3292055457,2,10622401907,X,shoutee
3292118303-1,3292118303,1,10622276343,A,asker
3292118303-2,3292118303,2,10622278259,P,askee
3292118303-3,3292118303,3,10622278259,P,requested-thing
3292150992-1,3292150992,1,10622276343,S,talker
3292150992-2,3292150992,2,10622438672,X,talked-about-content
3292150992-3,3292150992,3,10622440078,X,talked-to-person
3292168913-1,3292168913,1,10622276343,A,knower;seeer;looker;frightener;liker;searcher;meeter;follower;eater;dresser;washer;singer;hugger;smeller;shaver-of-body-part;digger;hearer;cooker;marrying-person;rememberer;hunter
3292168913-2,3292168913,2,10622278259,P,known-thing-or-person;seen-entity;looked-at-entity;frightenee;liked-entity;searched-for-thing;met-person;followee;eaten-food;dressee;washed-entity;song;huggee;smelled-entity;shaved-body-part;dug-up-thing;heard-sound;cooked-food;married-person;remembered-thing;hunted-thing
3292202487-1,3292202487,1,10622276343,S,fearer;leaver
3292202487-2,3292202487,2,10622341019,X,fear-stimulus;left-place-or-person
3292227823-1,3292227823,1,10622276343,S,helper;sitdowner;sitter;liver;appearer
3292227823-2,3292227823,2,10622292681,L,helpee;sitting-down-place;sitting-place;living-place;appear-location
3292259875-1,3292259875,1,10622276343,S,cougher;pain-locus;dieer;fallee;hungry-person;blinker;laugher;screamer;player;sad-person;rolling-entity;sunken-entity;burnt-thing;dry-thing;specialist-or-hunter;boiled-thing;freezing-person;rain
3292266433-1,3292266433,1,10622276343,S,climber;jumper;goer;comer
3292266433-2,3292266433,2,10622312500,X,climbing-goal;jump-location;going-goal;coming-goal
3295666191-1,3295666191,1,10622276343,S,runner;thinker
3295666191-2,3295666191,2,10622438672,X,running-place;thought-content
3583778286-1,3583778286,1,8083330622,A,tearer
3583778286-2,3583778286,2,8083333934,P,torn-thing
3583778286-3,3583778286,3,8456466350,X,tearing-source
3624501224-1,3624501224,1,7911271655,A,eater;knower;seeer;frightener;liked-entity;dresser;wanter;cooker;hearer;searcher;digger;taker;smeller;hugger;killer;washer;singer;blinker
3624501224-2,3624501224,2,7911276548,P,eaten-food;known-thing-or-person;seen-entity;frightenee;liker;dressee;wanted-thing;cooked-food;heard-sound;searched-for-thing;dug-up-thing;smelled-entity;huggee;killee;washed-entity;taken-thing;song;eye
3645700762-1,3645700762,1,7911271655,A,giver;shower;teacher;teller
3645700762-2,3645700762,2,7911276548,P,gift;shown-thing;taught-content;tellee
3645700762-3,3645700762,3,7911839146,X,giving-recipient;showing-addressee;teachee;told-content
3654929154-1,3654929154,1,7911271655,S,shouter;looker;meeter;follower;helper
3654929154-2,3654929154,2,7911839146,X,shoutee;looked-at-entity;met-person;followee;helpee
3663393290-1,3663393290,1,7911271655,A,coverer;cutter;hitter;beater;breaker;killer;grinder
3663393290-2,3663393290,2,7911276548,P,covered-thing;cut-thing;hittee;beatee;broken-thing;killee;ground-thing
3663393290-3,3663393290,3,7911308161,I,cover;cutting-instrument;hitting-instrument;beating-instrument;breaking-instrument;killing-instrument;grinding-instrument
3663754241-1,3663754241,1,7911271655,S,fearer;leaver
3663754241-2,3663754241,2,7911750067,X,fear-stimulus;left-place-or-person
4237270435-1,4237270435,1,3721243445,A,coverer;stealer;hider;toucher;killer;cooker;tearer;wiper;teller;asker;talker;knower;seeer;grinder;peeler;digger;taker;looker;fearer;liker;meeter;follower;helper;thinker;eater;receiver;washer;climber;singer;tier;frightener;hearer;wanter;maker;breaker;shower;hitter;beater;bringer;cutter;hugger;smeller;builder
4237270435-2,4237270435,2,3721244147,P,covered-thing;stolen-thing;touchee;killee;cooked-food;torn-thing;wiping-surface;told-content;requested-thing;talked-to-person;known-thing-or-person;seen-entity;ground-thing;taken-thing;looked-at-entity;fear-stimulus;liked-entity;met-person;followee;helpee;thought-content;eaten-food;received-thing;washed-entity;climbing-goal;tied-thing;frightenee;heard-sound;wanted-thing;made-thing;broken-thing;shown-thing;hittee;beatee;brought-thing;cut-thing;huggee;smelled-entity;peeled-object;song;built-thing;hidden-thing;dug-hole-or-ground
